ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Blocksy Custom Data","Blocksy Variation Images","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
9443,variation,,,"Long-Sleeve Black Top With Contrast White Oversized Bow - L",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,649,999,,,,,,,id:9417,,,,,,4,,,,Size,L,,1
9444,variation,,,"Long-Sleeve Black Top With Contrast White Oversized Bow - XL",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,649,999,,,,,,,id:9417,,,,,,5,,,,Size,XL,,1
9435,variation,,,"Black Ribbed Coquette Top with Gingham Ruffle Hem & Bow - XS",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,599,999,,,,,,,id:9419,,,,,,1,,,,Size,XS,,1
9436,variation,,,"Black Ribbed Coquette Top with Gingham Ruffle Hem & Bow - S",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,599,999,,,,,,,id:9419,,,,,,2,,,,Size,S,,1
9437,variation,,,"Black Ribbed Coquette Top with Gingham Ruffle Hem & Bow - M",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,599,999,,,,,,,id:9419,,,,,,3,,,,Size,M,,1
9438,variation,,,"Black Ribbed Coquette Top with Gingham Ruffle Hem & Bow - L",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,599,999,,,,,,,id:9419,,,,,,4,,,,Size,L,,1
9439,variation,,,"Black Ribbed Coquette Top with Gingham Ruffle Hem & Bow - XL",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,599,999,,,,,,,id:9419,,,,,,5,,,,Size,XL,,1
9430,variation,,,"Navy Blue Sweetheart Neck Ruched Top with Flare Sleeves - XS",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,599,999,,,,,,,id:9421,,,,,,1,,,,Size,XS,,1
9431,variation,,,"Navy Blue Sweetheart Neck Ruched Top with Flare Sleeves - S",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,599,999,,,,,,,id:9421,,,,,,2,,,,Size,S,,1
9432,variation,,,"Navy Blue Sweetheart Neck Ruched Top with Flare Sleeves - M",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,599,999,,,,,,,id:9421,,,,,,3,,,,Size,M,,1
9433,variation,,,"Navy Blue Sweetheart Neck Ruched Top with Flare Sleeves - L",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,599,999,,,,,,,id:9421,,,,,,4,,,,Size,L,,1
9434,variation,,,"Navy Blue Sweetheart Neck Ruched Top with Flare Sleeves - XL",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,599,999,,,,,,,id:9421,,,,,,5,,,,Size,XL,,1
9426,variation,,,"Black Sweetheart Neck Ruched Top with Flare Sleeves - S",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,699,1299,,,,,,,id:9423,,,,,,2,,,,Size,S,,1
9427,variation,,,"Black Sweetheart Neck Ruched Top with Flare Sleeves - M",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,699,1299,,,,,,,id:9423,,,,,,3,,,,Size,M,,1
9428,variation,,,"Black Sweetheart Neck Ruched Top with Flare Sleeves - L",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,699,1299,,,,,,,id:9423,,,,,,4,,,,Size,L,,1
9429,variation,,,"Black Sweetheart Neck Ruched Top with Flare Sleeves - XL",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,699,1299,,,,,,,id:9423,,,,,,5,,,,Size,XL,,1
9425,variation,,,"Black Sweetheart Neck Ruched Top with Flare Sleeves - XS",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,699,1299,,,,,,,id:9423,,,,,,1,,"[]",,Size,XS,,1
